ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase,pm_period,pm_score_diff
1771900722,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.70500,-0.00500,1.12430,-0.005622,245654,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900722,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.71000,0.00500,1.47831,0.007392,245654,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900722,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.71500,0.00500,1.79429,0.008971,245654,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900722,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.72000,0.00500,2.06331,0.010317,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900723,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.72500,0.00500,2.18662,0.010933,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900723,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.73500,0.01000,2.63181,0.026318,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900723,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.74000,0.00500,2.68777,0.013439,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900723,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.73500,-0.00500,2.21684,-0.011084,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900727,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.74000,0.00500,2.32629,0.011631,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900727,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.74500,0.00500,2.26321,0.011316,245654,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900728,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.73500,-0.01000,1.44788,-0.014479,246403,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900732,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.74000,0.00500,1.60447,0.008022,246403,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,6
1771900733,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.74500,0.00500,1.74285,0.008714,246403,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,3,6
1771900735,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.75000,0.00500,1.63274,0.008164,247443,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,6
1771900736,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.74500,-0.00500,1.36059,-0.006803,247462,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,3,6
1771900736,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.75500,0.01000,1.68373,0.016837,248767,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900736,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.74500,-0.01000,1.16000,-0.011600,248776,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,3,6
1771900740,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.75500,0.01000,1.38803,0.013880,249278,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900741,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.75000,-0.00500,1.14362,-0.005718,249279,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,6
1771900744,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.75500,0.00500,1.28438,0.006422,249311,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,3,6
1771900744,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.75000,-0.00500,0.95395,-0.004770,249341,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,6
